월,사업장,비용항목,금액
2025-09,서울,인건비,48482.0
2025-09,서울,임차료,25356.0
2025-09,서울,유틸리티,2682.0
2025-09,서울,운영비,8829.0
2025-09,서울,마케팅비,5784.0
2025-09,서울,기타,2843.0
2025-09,부산,인건비,79491.0
2025-09,부산,임차료,19951.0
2025-09,부산,유틸리티,4063.0
2025-09,부산,운영비,13720.0
2025-09,부산,마케팅비,3901.0
2025-09,부산,기타,6649.0
2025-09,대구,인건비,59488.0
2025-09,대구,임차료,24755.0
2025-09,대구,유틸리티,4265.0
2025-09,대구,운영비,7150.0
2025-09,대구,마케팅비,3226.0
2025-09,대구,기타,5844.0
2025-09,인천,인건비,63294.0
2025-09,인천,임차료,17923.0
2025-09,인천,유틸리티,2189.0
2025-09,인천,운영비,10311.0
2025-09,인천,마케팅비,7080.0
2025-09,인천,기타,6646.0
2025-09,광주,인건비,61562.0
2025-09,광주,임차료,14112.0
2025-09,광주,유틸리티,2199.0
2025-09,광주,운영비,6695.0
2025-09,광주,마케팅비,5851.0
2025-09,광주,기타,7341.0
2025-09,대전,인건비,49977.0
2025-09,대전,임차료,19500.0
2025-09,대전,유틸리티,3147.0
2025-09,대전,운영비,10274.0
2025-09,대전,마케팅비,2893.0
2025-09,대전,기타,4289.0
