월,사업장,인건비,임차료,유틸리티,운영비,마케팅비,기타
2025-01,광주,41571.0,19382.0,2202.0,6887.0,4324.0,3219.0
2025-01,광주,70819.0,21960.0,3991.0,5569.0,7851.0,7901.0
2025-03,광주,56798.0,20013.0,2936.0,14308.0,9540.0,3679.0
2025-04,광주,64370.0,11327.0,4101.0,9509.0,3513.0,3644.0
2025-05,광주,50615.0,15025.0,4624.0,9133.0,11305.0,8076.0
2025-05,광주,66176.0,9132.0,2892.0,15315.0,7281.0,7999.0
2025-06,광주,68259.0,16654.0,3207.0,6453.0,8640.0,6726.0
2025-07,광주,64533.0,29583.0,4310.0,11357.0,4140.0,2647.0
2025-08,광주,64757.0,16284.0,3484.0,6170.0,3602.0,2848.0
2025-09,광주,71945.0,14108.0,3884.0,13322.0,4784.0,2055.0
2025-10,광주,45001.0,21326.0,3964.0,14193.0,2998.0,5009.0
2025-11,광주,64018.0,20311.0,3802.0,12817.0,8819.0,5082.0
