월,사업장,인건비,임차료,유틸리티,운영비,마케팅비,기타
2025-01,대구,73309.0,25235.0,3442.0,4435.0,6973.0,6241.0
2025-01,대구,66230.0,24732.0,5456.0,12817.0,5893.0,3697.0
2025-03,대구,72202.0,14434.0,5334.0,5854.0,7994.0,3021.0
2025-04,대구,46109.0,24030.0,3646.0,16049.0,3980.0,2229.0
2025-05,대구,74324.0,34329.0,3339.0,7003.0,7204.0,4370.0
2025-05,대구,54885.0,28969.0,2800.0,14364.0,2944.0,9330.0
2025-06,대구,72790.0,13877.0,3560.0,8447.0,6143.0,3490.0
2025-07,대구,65821.0,25393.0,4541.0,12733.0,3026.0,4432.0
2025-08,대구,75643.0,14944.0,2350.0,10126.0,3080.0,2578.0
2025-09,대구,64389.0,30151.0,4841.0,12562.0,3327.0,5570.0
2025-10,대구,103036.0,21030.0,1945.0,8419.0,4251.0,3207.0
2025-11,대구,57301.0,27746.0,2246.0,12231.0,6022.0,5654.0
