월,사업장,인건비,임차료,유틸리티,운영비,마케팅비,기타
2025-01,대전,55777.0,13145.0,2609.0,7608.0,6797.0,4112.0
2025-01,대전,65917.0,30403.0,4585.0,9301.0,6305.0,3244.0
2025-03,대전,88141.0,25043.0,2733.0,11423.0,8139.0,6855.0
2025-04,대전,79932.0,27417.0,3871.0,10599.0,6017.0,8022.0
2025-05,대전,59659.0,23706.0,2079.0,10536.0,9183.0,4849.0
2025-05,대전,76674.0,12980.0,5579.0,15747.0,5018.0,3665.0
2025-06,대전,80749.0,13820.0,2758.0,9555.0,7044.0,6519.0
2025-07,대전,68722.0,23578.0,2352.0,11830.0,3301.0,2903.0
2025-08,대전,57261.0,34415.0,3420.0,10269.0,5973.0,6529.0
2025-09,대전,72246.0,13098.0,3416.0,7949.0,10109.0,5843.0
2025-10,대전,61619.0,20009.0,2860.0,10623.0,7885.0,6338.0
2025-11,대전,86986.0,31733.0,5845.0,13888.0,6792.0,5247.0
