월,사업장,인건비,임차료,유틸리티,운영비,마케팅비,기타
2025-01,부산,74374.0,19959.0,3260.0,10778.0,9689.0,4435.0
2025-01,부산,77376.0,15668.0,2704.0,11433.0,6521.0,2231.0
2025-03,부산,77826.0,21858.0,4930.0,14120.0,4153.0,6394.0
2025-04,부산,52170.0,30256.0,4773.0,7778.0,10014.0,2440.0
2025-05,부산,55259.0,22118.0,3595.0,8345.0,7973.0,4570.0
2025-05,부산,66489.0,15479.0,2064.0,11763.0,5891.0,2297.0
2025-06,부산,63516.0,12582.0,2126.0,9763.0,5820.0,5623.0
2025-07,부산,45733.0,12040.0,3049.0,14872.0,7249.0,2608.0
2025-08,부산,77706.0,15021.0,4910.0,6203.0,11069.0,4517.0
2025-09,부산,70872.0,10798.0,2204.0,6744.0,10203.0,2140.0
2025-10,부산,59783.0,22232.0,3780.0,7219.0,5423.0,5372.0
2025-11,부산,51433.0,11595.0,3472.0,11190.0,8247.0,1788.0
