사업장,비용항목,총액,평균,최대,최소
서울,인건비,773627.0,64468.916666666664,87000.0,53775.0
서울,임차료,242392.0,20199.333333333332,29071.0,10529.0
서울,유틸리티,44507.0,3708.9166666666665,4890.0,2528.0
서울,운영비,126617.0,10551.416666666666,16350.0,5933.0
서울,마케팅비,78442.0,6536.833333333333,8228.0,2975.0
서울,기타,63692.0,5307.666666666667,8101.0,2717.0
부산,인건비,784397.0,65366.416666666664,86506.0,49438.0
부산,임차료,246025.0,20502.083333333332,29294.0,9724.0
부산,유틸리티,40582.0,3381.8333333333335,5203.0,1926.0
부산,운영비,135543.0,11295.25,17413.0,5543.0
부산,마케팅비,80634.0,6719.5,9228.0,3797.0
부산,기타,61539.0,5128.25,9338.0,2278.0
대구,인건비,754739.0,62894.916666666664,80223.0,48908.0
대구,임차료,232993.0,19416.083333333332,30351.0,10716.0
대구,유틸리티,45185.0,3765.4166666666665,4866.0,2567.0
대구,운영비,118454.0,9871.166666666666,13907.0,5160.0
대구,마케팅비,74336.0,6194.666666666667,10451.0,3352.0
대구,기타,59679.0,4973.25,8346.0,2039.0
인천,인건비,804717.0,67059.75,78966.0,54064.0
인천,임차료,228424.0,19035.333333333332,30619.0,11570.0
인천,유틸리티,40497.0,3374.75,5354.0,1903.0
인천,운영비,121830.0,10152.5,15350.0,6889.0
인천,마케팅비,80633.0,6719.416666666667,10201.0,3505.0
인천,기타,52010.0,4334.166666666667,8364.0,2140.0
광주,인건비,764312.0,63692.666666666664,77476.0,48117.0
광주,임차료,245750.0,20479.166666666668,28709.0,12135.0
광주,유틸리티,37832.0,3152.6666666666665,5711.0,1692.0
광주,운영비,108092.0,9007.666666666666,13552.0,4497.0
광주,마케팅비,71680.0,5973.333333333333,10351.0,2670.0
광주,기타,62665.0,5222.083333333333,8919.0,2440.0
대전,인건비,760567.0,63380.583333333336,79771.0,49942.0
대전,임차료,258447.0,21537.25,30936.0,11814.0
대전,유틸리티,37813.0,3151.0833333333335,5411.0,2114.0
대전,운영비,129706.0,10808.833333333334,16128.0,5557.0
대전,마케팅비,95847.0,7987.25,11173.0,5307.0
대전,기타,59684.0,4973.666666666667,7556.0,2054.0
