날짜,월,사업장,비용항목,금액
2025-01-01,2025-01,서울,인건비,73635.0
2025-01-01,2025-01,서울,임차료,10529.0
2025-01-01,2025-01,서울,유틸리티,4024.0
2025-01-01,2025-01,서울,운영비,12881.0
2025-01-01,2025-01,서울,마케팅비,7819.0
2025-01-01,2025-01,서울,기타,4756.0
2025-01-01,2025-01,부산,인건비,50591.0
2025-01-01,2025-01,부산,임차료,29294.0
2025-01-01,2025-01,부산,유틸리티,4400.0
2025-01-01,2025-01,부산,운영비,13380.0
2025-01-01,2025-01,부산,마케팅비,9228.0
2025-01-01,2025-01,부산,기타,5414.0
2025-01-01,2025-01,대구,인건비,49887.0
2025-01-01,2025-01,대구,임차료,12971.0
2025-01-01,2025-01,대구,유틸리티,4679.0
2025-01-01,2025-01,대구,운영비,5830.0
2025-01-01,2025-01,대구,마케팅비,5760.0
2025-01-01,2025-01,대구,기타,4392.0
2025-01-01,2025-01,인천,인건비,78966.0
2025-01-01,2025-01,인천,임차료,22880.0
2025-01-01,2025-01,인천,유틸리티,4944.0
2025-01-01,2025-01,인천,운영비,11304.0
2025-01-01,2025-01,인천,마케팅비,6654.0
2025-01-01,2025-01,인천,기타,2901.0
2025-01-01,2025-01,광주,인건비,54605.0
2025-01-01,2025-01,광주,임차료,19458.0
2025-01-01,2025-01,광주,유틸리티,5711.0
2025-01-01,2025-01,광주,운영비,8229.0
2025-01-01,2025-01,광주,마케팅비,2670.0
2025-01-01,2025-01,광주,기타,3806.0
2025-01-01,2025-01,대전,인건비,62930.0
2025-01-01,2025-01,대전,임차료,30936.0
2025-01-01,2025-01,대전,유틸리티,3605.0
2025-01-01,2025-01,대전,운영비,10539.0
2025-01-01,2025-01,대전,마케팅비,9061.0
2025-01-01,2025-01,대전,기타,7028.0
2025-01-31,2025-01,서울,인건비,54800.0
2025-01-31,2025-01,서울,임차료,23962.0
2025-01-31,2025-01,서울,유틸리티,3552.0
2025-01-31,2025-01,서울,운영비,7230.0
2025-01-31,2025-01,서울,마케팅비,5542.0
2025-01-31,2025-01,서울,기타,2717.0
2025-01-31,2025-01,부산,인건비,49438.0
2025-01-31,2025-01,부산,임차료,28278.0
2025-01-31,2025-01,부산,유틸리티,4030.0
2025-01-31,2025-01,부산,운영비,12747.0
2025-01-31,2025-01,부산,마케팅비,7578.0
2025-01-31,2025-01,부산,기타,3128.0
2025-01-31,2025-01,대구,인건비,70272.0
2025-01-31,2025-01,대구,임차료,20716.0
2025-01-31,2025-01,대구,유틸리티,4048.0
2025-01-31,2025-01,대구,운영비,13907.0
2025-01-31,2025-01,대구,마케팅비,3429.0
2025-01-31,2025-01,대구,기타,5606.0
2025-01-31,2025-01,인천,인건비,70738.0
2025-01-31,2025-01,인천,임차료,15105.0
2025-01-31,2025-01,인천,유틸리티,2911.0
2025-01-31,2025-01,인천,운영비,11429.0
2025-01-31,2025-01,인천,마케팅비,10201.0
2025-01-31,2025-01,인천,기타,5863.0
2025-01-31,2025-01,광주,인건비,48117.0
2025-01-31,2025-01,광주,임차료,25168.0
2025-01-31,2025-01,광주,유틸리티,1692.0
2025-01-31,2025-01,광주,운영비,10272.0
2025-01-31,2025-01,광주,마케팅비,4635.0
2025-01-31,2025-01,광주,기타,3044.0
2025-01-31,2025-01,대전,인건비,68068.0
2025-01-31,2025-01,대전,임차료,11814.0
2025-01-31,2025-01,대전,유틸리티,2300.0
2025-01-31,2025-01,대전,운영비,12178.0
2025-01-31,2025-01,대전,마케팅비,9353.0
2025-01-31,2025-01,대전,기타,3837.0
2025-03-02,2025-03,서울,인건비,66066.0
2025-03-02,2025-03,서울,임차료,24062.0
2025-03-02,2025-03,서울,유틸리티,4890.0
2025-03-02,2025-03,서울,운영비,5933.0
2025-03-02,2025-03,서울,마케팅비,7781.0
2025-03-02,2025-03,서울,기타,2736.0
2025-03-02,2025-03,부산,인건비,51516.0
2025-03-02,2025-03,부산,임차료,28570.0
2025-03-02,2025-03,부산,유틸리티,2788.0
2025-03-02,2025-03,부산,운영비,7744.0
2025-03-02,2025-03,부산,마케팅비,4121.0
2025-03-02,2025-03,부산,기타,9338.0
2025-03-02,2025-03,대구,인건비,69867.0
2025-03-02,2025-03,대구,임차료,14509.0
2025-03-02,2025-03,대구,유틸리티,4866.0
2025-03-02,2025-03,대구,운영비,11595.0
2025-03-02,2025-03,대구,마케팅비,7982.0
2025-03-02,2025-03,대구,기타,2535.0
2025-03-02,2025-03,인천,인건비,63643.0
2025-03-02,2025-03,인천,임차료,12478.0
2025-03-02,2025-03,인천,유틸리티,2617.0
2025-03-02,2025-03,인천,운영비,9181.0
2025-03-02,2025-03,인천,마케팅비,9565.0
2025-03-02,2025-03,인천,기타,8364.0
2025-03-02,2025-03,광주,인건비,77427.0
2025-03-02,2025-03,광주,임차료,12205.0
2025-03-02,2025-03,광주,유틸리티,3699.0
2025-03-02,2025-03,광주,운영비,13347.0
2025-03-02,2025-03,광주,마케팅비,5991.0
2025-03-02,2025-03,광주,기타,7581.0
2025-03-02,2025-03,대전,인건비,58170.0
2025-03-02,2025-03,대전,임차료,19387.0
2025-03-02,2025-03,대전,유틸리티,2114.0
2025-03-02,2025-03,대전,운영비,5557.0
2025-03-02,2025-03,대전,마케팅비,5832.0
2025-03-02,2025-03,대전,기타,2962.0
2025-04-01,2025-04,서울,인건비,58525.0
2025-04-01,2025-04,서울,임차료,23080.0
2025-04-01,2025-04,서울,유틸리티,4787.0
2025-04-01,2025-04,서울,운영비,12183.0
2025-04-01,2025-04,서울,마케팅비,7235.0
2025-04-01,2025-04,서울,기타,5675.0
2025-04-01,2025-04,부산,인건비,67299.0
2025-04-01,2025-04,부산,임차료,18792.0
2025-04-01,2025-04,부산,유틸리티,2446.0
2025-04-01,2025-04,부산,운영비,6420.0
2025-04-01,2025-04,부산,마케팅비,7930.0
2025-04-01,2025-04,부산,기타,5596.0
2025-04-01,2025-04,대구,인건비,55625.0
2025-04-01,2025-04,대구,임차료,24185.0
2025-04-01,2025-04,대구,유틸리티,3437.0
2025-04-01,2025-04,대구,운영비,6915.0
2025-04-01,2025-04,대구,마케팅비,7771.0
2025-04-01,2025-04,대구,기타,6874.0
2025-04-01,2025-04,인천,인건비,60225.0
2025-04-01,2025-04,인천,임차료,11840.0
2025-04-01,2025-04,인천,유틸리티,4391.0
2025-04-01,2025-04,인천,운영비,9591.0
2025-04-01,2025-04,인천,마케팅비,3505.0
2025-04-01,2025-04,인천,기타,4955.0
2025-04-01,2025-04,광주,인건비,53518.0
2025-04-01,2025-04,광주,임차료,24257.0
2025-04-01,2025-04,광주,유틸리티,1748.0
2025-04-01,2025-04,광주,운영비,9068.0
2025-04-01,2025-04,광주,마케팅비,3511.0
2025-04-01,2025-04,광주,기타,6468.0
2025-04-01,2025-04,대전,인건비,79771.0
2025-04-01,2025-04,대전,임차료,27986.0
2025-04-01,2025-04,대전,유틸리티,3375.0
2025-04-01,2025-04,대전,운영비,13271.0
2025-04-01,2025-04,대전,마케팅비,5307.0
2025-04-01,2025-04,대전,기타,7556.0
2025-05-01,2025-05,서울,인건비,53775.0
2025-05-01,2025-05,서울,임차료,22393.0
2025-05-01,2025-05,서울,유틸리티,3695.0
2025-05-01,2025-05,서울,운영비,16350.0
2025-05-01,2025-05,서울,마케팅비,6539.0
2025-05-01,2025-05,서울,기타,3236.0
2025-05-01,2025-05,부산,인건비,86506.0
2025-05-01,2025-05,부산,임차료,25478.0
2025-05-01,2025-05,부산,유틸리티,2271.0
2025-05-01,2025-05,부산,운영비,9352.0
2025-05-01,2025-05,부산,마케팅비,4281.0
2025-05-01,2025-05,부산,기타,8719.0
2025-05-01,2025-05,대구,인건비,48908.0
2025-05-01,2025-05,대구,임차료,30351.0
2025-05-01,2025-05,대구,유틸리티,2909.0
2025-05-01,2025-05,대구,운영비,10284.0
2025-05-01,2025-05,대구,마케팅비,6031.0
2025-05-01,2025-05,대구,기타,5173.0
2025-05-01,2025-05,인천,인건비,62639.0
2025-05-01,2025-05,인천,임차료,25676.0
2025-05-01,2025-05,인천,유틸리티,2846.0
2025-05-01,2025-05,인천,운영비,6983.0
2025-05-01,2025-05,인천,마케팅비,4686.0
2025-05-01,2025-05,인천,기타,3886.0
2025-05-01,2025-05,광주,인건비,52972.0
2025-05-01,2025-05,광주,임차료,28709.0
2025-05-01,2025-05,광주,유틸리티,2242.0
2025-05-01,2025-05,광주,운영비,8866.0
2025-05-01,2025-05,광주,마케팅비,10351.0
2025-05-01,2025-05,광주,기타,6450.0
2025-05-01,2025-05,대전,인건비,56455.0
2025-05-01,2025-05,대전,임차료,15782.0
2025-05-01,2025-05,대전,유틸리티,5411.0
2025-05-01,2025-05,대전,운영비,13358.0
2025-05-01,2025-05,대전,마케팅비,8697.0
2025-05-01,2025-05,대전,기타,6661.0
2025-05-31,2025-05,서울,인건비,76293.0
2025-05-31,2025-05,서울,임차료,25670.0
2025-05-31,2025-05,서울,유틸리티,2831.0
2025-05-31,2025-05,서울,운영비,6708.0
2025-05-31,2025-05,서울,마케팅비,6956.0
2025-05-31,2025-05,서울,기타,2790.0
2025-05-31,2025-05,부산,인건비,71626.0
2025-05-31,2025-05,부산,임차료,20060.0
2025-05-31,2025-05,부산,유틸리티,3305.0
2025-05-31,2025-05,부산,운영비,5543.0
