월,사업장,인건비,임차료,유틸리티,운영비,마케팅비,기타
2025-01,서울,78209.0,21347.0,2449.0,12816.0,2783.0,5478.0
2025-01,서울,52693.0,21909.0,2977.0,13990.0,6191.0,2541.0
2025-03,서울,67528.0,15746.0,4535.0,10915.0,4349.0,7082.0
2025-04,서울,76214.0,21346.0,2070.0,11294.0,4515.0,7463.0
2025-05,서울,100399.0,13904.0,3966.0,5908.0,3954.0,3809.0
2025-05,서울,59442.0,9586.0,2927.0,8181.0,4923.0,6597.0
2025-06,서울,53965.0,18157.0,3094.0,5276.0,6326.0,6667.0
2025-07,서울,84916.0,27682.0,4714.0,7897.0,2835.0,6540.0
2025-08,서울,52731.0,20266.0,2405.0,10969.0,7470.0,6173.0
2025-09,서울,58515.0,13043.0,4982.0,12500.0,3593.0,3341.0
2025-10,서울,94620.0,30086.0,3583.0,17135.0,4981.0,6763.0
2025-11,서울,59461.0,11603.0,1708.0,6730.0,6581.0,3592.0
