월,사업장,인건비,임차료,유틸리티,운영비,마케팅비,기타
2025-01,인천,63429.0,18020.0,1902.0,9246.0,6786.0,1651.0
2025-01,인천,63257.0,16014.0,3986.0,16866.0,3380.0,4031.0
2025-03,인천,41791.0,10106.0,3689.0,11334.0,6300.0,6894.0
2025-04,인천,70651.0,22587.0,3659.0,5617.0,4015.0,3056.0
2025-05,인천,43844.0,18171.0,3756.0,14557.0,5035.0,6987.0
2025-05,인천,63050.0,19243.0,2713.0,10202.0,4722.0,6527.0
2025-06,인천,90771.0,25362.0,3353.0,7527.0,7016.0,5312.0
2025-07,인천,79285.0,19818.0,5600.0,11073.0,4890.0,8784.0
2025-08,인천,69556.0,26255.0,5222.0,7681.0,5241.0,3301.0
2025-09,인천,58353.0,9588.0,2240.0,9190.0,9374.0,3987.0
2025-10,인천,49984.0,9970.0,2963.0,8133.0,4743.0,3508.0
2025-11,인천,47730.0,22892.0,2577.0,8468.0,4989.0,5108.0
